RowId;ThresholdProfileName;ExpectedFound;ExpectedRank;ExpectedScore;BestNonMatchRank;BestNonMatchScore;ScoreDrop;CandidateCount
105;Passweb_1_N_Alder_18_70;True;1;938;2;569;369;15
106;Passweb_1_N_Alder_18_70;True;1;818;2;567;251;15
107;Passweb_1_N_Alder_18_70;True;1;881;2;500;381;15
108;Passweb_1_N_Alder_18_70;True;1;906;2;500;406;15
109;Passweb_1_N_Alder_18_70;True;1;944;2;492;452;15
110;Passweb_1_N_Alder_7_13;True;1;904;2;574;330;15
111;Passweb_1_N_Alder_18_70;True;1;774;2;508;266;15
112;Passweb_1_N_Alder_18_70;True;1;793;2;528;265;15
113;Passweb_1_N_Alder_18_70;True;1;936;2;538;398;15
114;Passweb_1_N_Alder_18_70;True;1;956;2;548;408;15
115;Passweb_1_N_Alder_18_70;True;1;852;2;548;304;15
116;Passweb_1_N_Alder_18_70;True;1;914;2;541;373;15
117;Passweb_1_N_Alder_7_13;True;1;872;2;568;304;15
118;Passweb_1_N_Alder_18_70;True;1;755;2;527;228;15
119;Passweb_1_N_Alder_18_70;True;1;849;2;540;309;15
120;Passweb_1_N_Alder_18_70;True;1;901;2;510;391;15
121;Passweb_1_N_Alder_18_70;True;1;924;2;577;347;15
122;Passweb_1_N_Alder_7_13;True;1;877;2;633;244;15
123;Passweb_1_N_Alder_2_6;True;3;712;1;742;-30;15
124;Passweb_1_N_Alder_18_70;True;1;783;2;585;198;15
125;Passweb_1_N_Alder_18_70;True;1;960;2;522;438;15
126;Passweb_1_N_Alder_7_13;True;1;904;2;648;256;15
127;Passweb_1_N_Alder_18_70;True;1;834;2;517;317;15
128;Passweb_1_N_Alder_18_70;True;1;724;2;655;69;15
129;Passweb_1_N_Alder_18_70;True;1;825;2;497;328;15
130;Passweb_1_N_Alder_18_70;True;1;946;2;561;385;15
131;Passweb_1_N_Alder_18_70;True;1;889;2;509;380;15
132;Passweb_1_N_Alder_18_70;True;1;863;2;514;349;15
133;Passweb_1_N_Alder_2_6;True;1;871;2;751;120;15
134;Passweb_1_N_Alder_2_6;True;1;889;2;686;203;15
135;Passweb_1_N_Alder_14_15;True;1;823;2;578;245;15
136;Passweb_1_N_Alder_7_13;True;1;909;2;634;275;15
137;Passweb_1_N_Alder_7_13;True;1;767;2;630;137;15
138;Passweb_1_N_Alder_18_70;True;1;840;2;530;310;15
139;Passweb_1_N_Alder_2_6;True;1;889;2;615;274;15
140;Passweb_1_N_Alder_7_13;True;1;828;2;661;167;15
141;Passweb_1_N_Alder_7_13;True;1;898;2;629;269;15
142;Passweb_1_N_Alder_18_70;True;1;785;2;480;305;15
143;Passweb_1_N_Alder_18_70;True;1;945;2;585;360;15
144;Passweb_1_N_Alder_18_70;True;1;737;2;583;154;15
145;Passweb_1_N_Alder_18_70;True;1;823;2;533;290;15
146;Passweb_1_N_Alder_7_13;True;1;930;2;636;294;15
147;Passweb_1_N_Alder_7_13;True;1;883;2;661;222;15
148;Passweb_1_N_Alder_7_13;True;1;877;2;628;249;15
149;Passweb_1_N_Alder_71_T;True;1;915;2;544;371;15
150;Passweb_1_N_Alder_7_13;True;1;860;2;593;267;15
151;Passweb_1_N_Alder_18_70;True;1;864;2;588;276;15
152;Passweb_1_N_Alder_18_70;True;1;874;2;527;347;15
153;Passweb_1_N_Alder_18_70;True;1;704;2;495;209;15
154;Passweb_1_N_Alder_7_13;True;1;918;2;547;371;15
155;Passweb_1_N_Alder_18_70;True;1;861;2;535;326;15
156;Passweb_1_N_Alder_16_17;True;1;801;2;595;206;15
157;Passweb_1_N_Alder_2_6;True;1;830;2;683;147;15
158;Passweb_1_N_Alder_14_15;True;1;910;2;580;330;15
